TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;7D;SU09 Max;Top;-6.077262997;7.465401128;0.003290232;0.011665847;-0.000509027;-2.116987531
Story12;7D;SU09 Max;Bottom;-8.350617967;7.483805355;0.000418553;0.008921288;0.002368075;8.989705489
Story12;7D;SU09 Min;Top;-6.813460899;-3.132782141;-0.008369055;-0.001576214;-0.002578492;-3.883580702
Story12;7D;SU09 Min;Bottom;-11.97269782;-3.12197905;-0.00798286;0.005719293;-0.005453391;-8.217669871
Story12;7B;SU01;Top;-8.579664988;-1.621144509;-0.000120394;-0.00035244;1.9031E-05;1.155432359
Story12;7B;SU01;Bottom;-13.94179121;-1.66334415;-0.000169084;-0.000506319;-0.000508858;-0.983872057
Story12;7B;SU02;Top;-11.91914035;-2.174718412;-0.000179074;-0.000412608;3.21197E-05;1.267084093
Story12;7B;SU02;Bottom;-16.80908757;-2.229222094;-0.000235342;-0.000618519;-0.000815807;-1.747174392
Story12;7B;SU03;Top;-7.354037019;-1.390041307;-0.000106533;-0.000302962;1.65904E-05;0.990461735
Story12;7B;SU03;Bottom;-11.95028853;-1.426208642;-0.000149417;-0.000437472;-0.000444305;-0.844044436
Story12;7B;SU04;Top;-10.20721669;-1.880338461;-0.00015101;-0.000371266;2.62245E-05;1.163327211
Story12;7B;SU04;Bottom;-14.98699107;-1.927966989;-0.000201963;-0.000549728;-0.000674395;-1.408313608
Story12;7B;SU05 Max;Top;-9.996157126;0.462607469;0.011205459;0.001537143;0.00049792;1.668306228
Story12;7B;SU05 Max;Bottom;-13.97714246;0.421397401;0.013055516;0.003602531;0.012056456;1.763607083
Story12;7B;SU05 Min;Top;-10.41825221;-4.222978846;-0.011505394;-0.00227913;-0.000445645;0.65829123
Story12;7B;SU05 Min;Bottom;-15.99672606;-4.2770282;-0.013456638;-0.004699809;-0.013400158;-4.579780844
Story12;7B;SU06 Max;Top;-9.529979266;5.625645879;0.00340796;0.000671495;0.00017418;2.783849462
Story12;7B;SU06 Max;Bottom;-11.74629095;5.599377312;0.003960321;0.001155596;0.003346002;8.741556577
Story12;7B;SU06 Min;Top;-10.88443007;-9.386017256;-0.003707895;-0.001413483;-0.000121904;-0.457252003
Story12;7B;SU06 Min;Bottom;-18.22757757;-9.455008111;-0.004361442;-0.002252874;-0.004689704;-11.55773034
Story12;7B;SU07;Top;-5.515498921;-1.042164327;-7.73961E-05;-0.000226568;1.22342E-05;0.742777945
