TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story8;E3;0;9;0;0.945;0.15;0.945;0.15;H210;9.8825;0.555;16.66;9.8825;0.555;19.04
Story8;E2;0;18;0;1.89;0.15;1.89;0.15;H210;31.065;13.025;16.66;31.065;13.025;19.04
Story8;E1;0;21;0;1.95;0.15;1.95;0.15;H210;10.385;13.025;16.66;10.385;13.025;19.04
Story8;L2;0;42;0;5.525;0.12;5.525;0.12;H210;23.5325;6.79;16.66;23.5325;6.79;19.04
Story8;L1;0;42;0;5.525;0.12;5.525;0.12;H210;17.8875;6.79;16.66;17.8875;6.79;19.04
Story7;1B;90;66;0;7.74;0.15;7.74;0.15;H280;41.42;6.79;14.28;41.42;6.79;16.66
Story7;I2;0;30;0;3.625;0.12;3.625;0.12;H280;33.9625;8.205;14.28;33.9625;8.205;16.66
Story7;5B;90;27;0;2.83;0.12;2.83;0.12;H280;35.835;6.79;14.28;35.835;6.79;16.66
Story7;I4;0;33;0;3.625;0.12;3.625;0.12;H280;33.9625;5.375;14.28;33.9625;5.375;16.66
Story7;7D;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;2.965;14.28;31.065;2.965;16.66
Story7;7B;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;10.615;14.28;31.065;10.615;16.66
Story7;J4;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;5.375;14.28;28.1675;5.375;16.66
Story7;J2;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;8.205;14.28;28.1675;8.205;16.66
Story7;8B;90;24;0;2.83;0.12;2.83;0.12;H280;26.295;6.79;14.28;26.295;6.79;16.66
Story7;10;90;66;0;7.74;0.15;7.74;0.15;H280;20.71;6.79;14.28;20.71;6.79;16.66
Story7;J1;0;30;0;3.625;0.12;3.625;0.12;H280;13.2525;8.205;14.28;13.2525;8.205;16.66
Story7;8A;90;27;0;2.83;0.12;2.83;0.12;H280;15.125;6.79;14.28;15.125;6.79;16.66
Story7;J3;0;33;0;3.625;0.12;3.625;0.12;H280;13.2525;5.375;14.28;13.2525;5.375;16.66
Story7;7C;90;39;0;4.82;0.12;4.82;0.12;H280;10.355;2.965;14.28;10.355;2.965;16.66
Story7;7A;90;42;0;4.82;0.12;4.82;0.12;H280;10.355;10.615;14.28;10.355;10.615;16.66
Story7;I1;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;8.205;14.28;7.4575;8.205;16.66
Story7;I3;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;5.375;14.28;7.4575;5.375;16.66
Story7;5A;90;24;0;2.83;0.12;2.83;0.12;H280;5.585;6.79;14.28;5.585;6.79;16.66
