TABLE:  Shear Wall Pier Summary - ACI 318-08;;;;;;;;;;;;;;;;;;;;;;;;;;
Story;Pier Label;Station;Design Type;Edge Rebar;End Rebar;Rebar Spacing;Required Reinf;Current Reinf;Pier Leg;Leg X1;Leg Y1;Leg X2;Leg Y2;Shear Rebar;Compressive Stress Left;Compressive Stress Right;Compressive Stress Limit Left;Compressive Stress Limit Right;C Depth Left;C Limit Left;C Depth Right;C Limit Right;Boundary Zone Left;Boundary Zone Right;Warnings;Errors
;;;;;;m;%;%;;m;m;m;m;m²/m;tonf/m²;tonf/m²;tonf/m²;tonf/m²;m;m;m;m;m;m;;
Story11;I4;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;8.1;8.88;42;42;;;;;;;No Message;No Message
Story11;I4;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;12.11;12.73;42;42;;;;;;;No Message;No Message
Story10;I4;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;11.78;12.94;42;42;;;;;;;No Message;No Message
Story10;I4;Bottom;Uniform;#2;#2;0.15;0.18;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;17.36;17.99;42;42;;;;;;;No Message;No Message
Story9;I4;Top;Uniform;#2;#2;0.15;0.19;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;16.3;18.06;42;42;;;;;;;No Message;No Message
Story9;I4;Bottom;Uniform;#2;#2;0.15;0.33;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;25.69;26.32;42;42;;;;;;;No Message;No Message
Story8;I4;Top;Uniform;#2;#2;0.15;0.32;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;25.57;24.92;42;42;;;;;;;No Message;No Message
Story8;I4;Bottom;Uniform;#2;#2;0.15;0.39;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;34.69;35.27;42;42;0.77013;0.62618;0.77013;0.62618;0.40763;0.40763;No Message;No Message
Story7;I4;Top;Uniform;#2;#2;0.15;0.39;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;34.21;33.62;56;56;;;;;;;No Message;No Message
Story7;I4;Bottom;Uniform;#2;#2;0.15;0.59;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;43.94;44.48;56;56;0.71629;0.66668;0.71629;0.66668;0.35814;0.35814;No Message;No Message
Story6;I4;Top;Uniform;#2;#2;0.15;0.58;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;42.93;42.46;56;56;0.77371;0.71641;0.77371;0.71641;0.41121;0.41121;No Message;No Message
Story6;I4;Bottom;Uniform;#2;#2;0.15;0.73;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;54.31;54.57;56;56;0.85545;0.71641;0.85545;0.71641;0.49295;0.49295;No Message;No Message
Story5;I4;Top;Uniform;#2;#2;0.15;0.72;0.37;Top Leg 1;32.15;5.375;35.775;5.375;0.0003;52.99;52.63;56;56;0.91592;0.79954;0.91592;0.79954;0.55342;0.55342;No Message;No Message
Story5;I4;Bottom;Uniform;#2;#2;0.15;0.91;0.37;Bottom Leg 1;32.15;5.375;35.775;5.375;0.0003;65.76;65.86;56;56;1.00689;0.79954;1.00689;0.79954;0.64439;0.64439;No Message;No Message
Story4;I4;Top;Uniform;8d;8d;0.15;0.72;0.46;Top Leg 1;32.15;5.375;35.775;5.375;0.00038;51.49;51.91;70;70;;;;;;;No Message;No Message
Story4;I4;Bottom;Uniform;8d;8d;0.15;0.89;0.46;Bottom Leg 1;32.15;5.375;35.775;5.375;0.00038;62.91;63.63;70;70;0.82368;0.8631;0.82368;0.8631;0.46118;0.46118;No Message;No Message
Story3;I4;Top;Uniform;8d;8d;0.15;0.88;0.46;Top Leg 1;32.15;5.375;35.775;5.375;0.00038;61.92;62.37;70;70;0.8679;0.8631;0.8679;0.8631;0.5054;0.5054;No Message;No Message
Story3;I4;Bottom;Uniform;8d;8d;0.15;1.06;0.46;Bottom Leg 1;32.15;5.375;35.775;5.375;0.00038;73.29;73.97;70;70;0.93222;0.8631;0.93222;0.8631;0.56972;0.56972;No Message;No Message
Story2;I4;Top;Uniform;8d;8d;0.15;1.05;0.46;Top Leg 1;32.15;5.375;35.775;5.375;0.00038;72.73;72.88;70;70;0.9722;0.8631;0.9722;0.8631;0.6097;0.6097;No Message;No Message
Story2;I4;Bottom;Uniform;8d;8d;0.15;1.18;0.46;Bottom Leg 1;32.15;5.375;35.775;5.375;0.00038;85.1;85.23;70;70;1.02777;0.8631;1.02777;0.8631;0.66527;0.66527;No Message;No Message
Story1;I4;Top;Uniform;8d;8d;0.15;1.18;0.46;Top Leg 1;32.15;5.375;35.775;5.375;0.00038;85.51;85.06;70;70;1.05615;0.8631;1.05615;0.8631;0.69365;0.69365;No Message;No Message
Story1;I4;Bottom;Uniform;8d;8d;0.15;1.36;0.46;Bottom Leg 1;32.15;5.375;35.775;5.375;0.00038;99.63;99.49;70;70;1.11034;0.8631;1.11034;0.8631;0.74784;0.74784;No Message;No Message
Story12;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;2.96;0;42;0;;;;;;;No Message;No Message
Story12;7D;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;4.83;5.39;42;42;;;;;;;No Message;No Message
Story11;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;7.76;5.96;42;42;;;;;;;No Message;No Message
Story11;7D;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;11.88;12.33;42;42;;;;;;;No Message;No Message
Story10;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;14.59;12.68;42;42;;;;;;;No Message;No Message
Story10;7D;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;20.69;20.88;42;42;;;;;;;No Message;No Message
Story9;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;23.18;21.09;42;42;;;;;;;No Message;No Message
Story9;7D;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;30.83;30.64;42;42;;;;;;;No Message;No Message
Story8;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;32.85;30.86;42;42;0.71065;1.14762;;;0.35533;;No Message;No Message
Story8;7D;Bottom;Uniform;#2;#2;0.15;0.13;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;41.53;41.24;42;42;0.76648;1.14762;0.76648;1.14762;0.38324;0.38324;No Message;No Message
Story7;7D;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;43.45;41.42;56;56;0.64157;1.14762;;;0.32079;;No Message;No Message
Story7;7D;Bottom;Uniform;#2;#2;0.15;0.25;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;51.5;51.36;56;56;0.68327;1.14762;0.68327;1.14762;0.34164;0.34164;No Message;No Message
Story6;7D;Top;Uniform;#2;#2;0.15;0.21;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;53.29;51.44;56;56;0.74008;1.14762;0.74008;1.14762;0.37004;0.37004;No Message;No Message
Story6;7D;Bottom;Uniform;#2;#2;0.15;0.32;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;62.66;62.75;56;56;0.78487;1.14762;0.78487;1.14762;0.39244;0.39244;No Message;No Message
Story5;7D;Top;Uniform;#2;#2;0.15;0.3;0.37;Top Leg 1;31.065;0.555;31.065;5.375;0.0003;64.49;62.69;56;56;0.84161;1.14762;0.84161;1.14762;0.4208;0.4208;No Message;No Message
Story5;7D;Bottom;Uniform;#2;#2;0.15;0.37;0.37;Bottom Leg 1;31.065;0.555;31.065;5.375;0.0003;76.15;75.89;56;56;0.8888;1.14762;0.8888;1.14762;0.4444;0.4444;No Message;No Message
Story4;7D;Top;Uniform;8d;8d;0.15;0.32;0.46;Top Leg 1;31.065;0.555;31.065;5.375;0.00038;63.36;60.65;70;70;0.66483;1.14762;0.66483;1.14762;0.33242;0.33242;No Message;No Message
Story4;7D;Bottom;Uniform;8d;8d;0.15;0.38;0.46;Bottom Leg 1;31.065;0.555;31.065;5.375;0.00038;75.22;74.11;70;70;0.70258;1.14762;0.70258;1.14762;0.35129;0.35129;No Message;No Message
Story3;7D;Top;Uniform;8d;8d;0.15;0.38;0.46;Top Leg 1;31.065;0.555;31.065;5.375;0.00038;76.56;73.78;70;70;0.74161;1.14762;0.74161;1.14762;0.37081;0.37081;No Message;No Message
Story3;7D;Bottom;Uniform;8d;8d;0.15;0.49;0.46;Bottom Leg 1;31.065;0.555;31.065;5.375;0.00038;87.68;86.47;70;70;0.78007;1.14762;0.78007;1.14762;0.39003;0.39003;No Message;No Message
Story2;7D;Top;Uniform;8d;8d;0.15;0.45;0.46;Top Leg 1;31.065;0.555;31.065;5.375;0.00038;88.72;86.11;70;70;0.81952;1.14762;0.81952;1.14762;0.40976;0.40976;No Message;No Message
Story2;7D;Bottom;Uniform;8d;8d;0.15;0.62;0.46;Bottom Leg 1;31.065;0.555;31.065;5.375;0.00038;100.9;99.42;70;70;0.85919;1.14762;0.85919;1.14762;0.4296;0.4296;No Message;No Message
Story1;7D;Top;Uniform;8d;8d;0.15;0.6;0.46;Top Leg 1;31.065;0.555;31.065;5.375;0.00038;102.11;99.03;70;70;0.90081;1.14762;0.90081;1.14762;0.45041;0.45041;No Message;No Message
Story1;7D;Bottom;Uniform;8d;8d;0.15;0.71;0.46;Bottom Leg 1;31.065;0.555;31.065;5.375;0.00038;115.84;113.17;70;70;0.94159;1.14762;0.94159;1.14762;0.4708;0.4708;No Message;No Message
Story12;7B;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;31.065;8.205;31.065;13.025;0.0003;1.98;2.48;42;42;;;;;;;No Message;No Message
Story12;7B;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;31.065;8.205;31.065;13.025;0.0003;5.64;5.03;42;42;;;;;;;No Message;No Message
